Customer_ID,Full_Name,Gender,Age,Email,Phone,City,State,Country,Zip_Code,Join_Date,Customer_Segment,Preferred_Channel,Payment_Preference,Churn_Risk_Score,ARPU
CUST000001,Jessica Smith,Male,69,powerschristopher@example.com,000.597.9721,Lake Danny,Alabama,USA,66441,2024-12-10,Small Business,Web,Card,73.9,47.07
CUST000002,Dr. Austin Weaver,Other,76,rjones@example.org,904.814.7543x37808,North Matthewfort,Texas,USA,49960,2022-08-27,Small Business,Call Center,ACH,64.6,51.79
CUST000003,Billy Crawford,Male,68,grantdrew@example.com,001-182-470-6402x42427,New Paulstad,New York,USA,45289,2021-08-31,Residential,Web,ACH,34.0,54.0
CUST000004,Julie Williams,Other,74,mberg@example.org,874.412.6618x176,Daniellestad,Connecticut,USA,92599,2025-03-23,Residential,Web,Wallet,23.1,39.86
CUST000005,Tracey Carpenter,Other,35,teresa57@example.net,163-040-3815,Sierraland,Pennsylvania,USA,34242,2023-05-23,Enterprise,Retail,ACH,39.3,32.27
CUST000006,Melissa Herring,Male,30,sandersjanet@example.com,353.862.9340x58278,Cookberg,Arkansas,USA,82356,2020-03-20,Residential,App,ACH,46.3,52.73
CUST000007,Charles Payne,Male,23,george01@example.org,066.536.4846,Ginaberg,Ohio,USA,12673,2020-11-08,Small Business,Retail,Bank Transfer,22.1,45.17
CUST000008,Diana Ross,Female,29,alicia64@example.org,960-573-7264x0176,Royfort,Idaho,USA,52996,2021-03-30,Enterprise,Web,ACH,40.8,58.24
CUST000009,Brooke Vargas,Male,60,jamie89@example.com,+1-707-105-7129x55449,Annaport,Oregon,USA,26003,2020-06-13,Enterprise,Retail,ACH,27.7,61.74
CUST000010,Nicole Jones,Male,48,matthewcook@example.com,418.998.1345x206,Lake Vickiborough,Texas,USA,20792,2024-04-30,Small Business,App,ACH,3.6,45.69
CUST000011,Kelli Hamilton DDS,Female,37,anthonysusan@example.com,001-793-581-0959x327,Cohenberg,Ohio,USA,82110,2021-11-27,Residential,App,Wallet,27.5,20.92
CUST000012,Brianna Rush,Female,40,haleysloan@example.net,001-652-898-9970x515,Mercadoland,Massachusetts,USA,30375,2022-01-30,Enterprise,Web,ACH,20.7,48.94
CUST000013,Christina Case,Male,20,dlawrence@example.org,146.527.3059x562,Lake Andrewborough,Rhode Island,USA,81820,2022-11-12,Enterprise,Retail,Wallet,33.4,53.93
CUST000014,Brenda Waller,Female,38,denise09@example.com,(954)665-3405x941,Port Jefferyshire,Pennsylvania,USA,48919,2023-08-18,Residential,Retail,Card,28.5,37.05
CUST000015,Erica Cox,Female,32,jennifer27@example.org,8633742596,Fischershire,New Mexico,USA,63441,2022-06-17,Residential,Call Center,Wallet,47.0,13.86
CUST000016,Misty Lara,Male,71,christine86@example.net,(177)188-2431,Philipport,Virginia,USA,68945,2022-11-20,Enterprise,Web,ACH,11.7,5.0
CUST000017,Joshua Lopez,Male,36,rlowe@example.com,781-871-1329x52643,Anthonymouth,Rhode Island,USA,13575,2025-02-25,Enterprise,Retail,ACH,33.1,80.61
CUST000018,Robert Green,Other,50,matthew96@example.net,001-266-049-9459,East Mary,Illinois,USA,80466,2022-04-12,Small Business,Retail,ACH,47.3,51.9
CUST000019,Jeremy Shaw,Other,66,alexandra66@example.com,+1-975-342-2620x39858,South Samantha,Alaska,USA,72574,2023-09-29,Small Business,Retail,Card,49.0,65.52
CUST000020,Benjamin Wilkerson,Male,76,jonesjohn@example.net,(763)485-8871x4082,East Nicholas,Idaho,USA,69646,2021-12-01,Residential,Web,Bank Transfer,26.5,38.83
CUST000021,Eric Freeman,Other,44,carolyn46@example.net,452.173.7314x2842,Mcgrathborough,Oklahoma,USA,68974,2024-11-07,Enterprise,App,Wallet,28.9,31.42
